angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.11,,"[404, 74, 181, 236]",,0.0,,0.06,,0.0,,0.33,,0.49,,0.0,
0.08,,"[404, 74, 180, 234]",,0.0,,0.06,,0.0,,0.37,,0.49,,0.0,
0.1,,"[403, 76, 180, 234]",,0.0,,0.07,,0.0,,0.33,,0.5,,0.0,
0.25,,"[406, 78, 178, 232]",,0.0,,0.04,,0.0,,0.22,,0.48,,0.0,
0.25,,"[405, 78, 179, 232]",,0.0,,0.04,,0.0,,0.22,,0.49,,0.0,
0.24,,"[405, 78, 179, 232]",,0.0,,0.04,,0.0,,0.23,,0.49,,0.0,
0.15,,"[405, 82, 179, 228]",,0.0,,0.05,,0.0,,0.32,,0.47,,0.0,
0.14,,"[405, 82, 178, 228]",,0.0,,0.07,,0.0,,0.26,,0.53,,0.0,
0.08,,"[414, 80, 173, 229]",,0.0,,0.04,,0.0,,0.5,,0.37,,0.01,
0.08,,"[414, 80, 173, 229]",,0.0,,0.04,,0.0,,0.51,,0.37,,0.01,
0.21,,"[410, 78, 175, 235]",,0.0,,0.06,,0.0,,0.32,,0.41,,0.0,
0.2,,"[410, 78, 175, 235]",,0.0,,0.06,,0.0,,0.33,,0.41,,0.0,
0.1,,"[412, 87, 180, 233]",,0.0,,0.12,,0.0,,0.34,,0.44,,0.0,
0.11,,"[415, 88, 179, 232]",,0.0,,0.06,,0.0,,0.49,,0.34,,0.0,
0.05,,"[415, 88, 175, 230]",,0.0,,0.07,,0.0,,0.64,,0.22,,0.02,
0.05,,"[415, 89, 174, 229]",,0.0,,0.06,,0.0,,0.69,,0.19,,0.02,
0.05,,"[416, 90, 173, 227]",,0.0,,0.05,,0.0,,0.7,,0.2,,0.01,
0.05,,"[417, 89, 175, 230]",,0.0,,0.04,,0.0,,0.66,,0.24,,0.01,
0.06,,"[421, 89, 174, 230]",,0.0,,0.03,,0.0,,0.65,,0.26,,0.01,
0.06,,"[421, 89, 174, 230]",,0.0,,0.03,,0.0,,0.65,,0.26,,0.0,
0.08,,"[422, 93, 174, 226]",,0.0,,0.08,,0.0,,0.63,,0.2,,0.01,
0.02,,"[421, 90, 179, 235]",,0.0,,0.03,,0.0,,0.67,,0.28,,0.0,
0.01,,"[416, 87, 179, 235]",,0.0,,0.02,,0.0,,0.87,,0.1,,0.01,
0.02,,"[416, 87, 179, 234]",,0.0,,0.03,,0.0,,0.82,,0.12,,0.01,
0.01,,"[415, 89, 177, 224]",,0.0,,0.02,,0.0,,0.88,,0.09,,0.0,
0.01,,"[415, 89, 177, 224]",,0.0,,0.02,,0.0,,0.88,,0.09,,0.0,
0.02,,"[424, 91, 169, 217]",,0.0,,0.02,,0.0,,0.83,,0.13,,0.0,
0.03,,"[423, 90, 170, 218]",,0.0,,0.03,,0.0,,0.78,,0.16,,0.0,
0.02,,"[419, 103, 163, 211]",,0.0,,0.06,,0.0,,0.69,,0.22,,0.01,
0.02,,"[426, 88, 175, 231]",,0.0,,0.02,,0.0,,0.87,,0.08,,0.01,
0.02,,"[420, 103, 167, 215]",,0.0,,0.03,,0.0,,0.8,,0.14,,0.01,
0.02,,"[419, 103, 168, 215]",,0.0,,0.03,,0.0,,0.8,,0.14,,0.01,
0.03,,"[419, 105, 165, 212]",,0.0,,0.02,,0.0,,0.85,,0.1,,0.0,
0.04,,"[424, 88, 181, 235]",,0.0,,0.03,,0.0,,0.7,,0.23,,0.0,
0.04,,"[423, 86, 182, 237]",,0.0,,0.03,,0.0,,0.63,,0.3,,0.0,
0.04,,"[423, 86, 182, 237]",,0.0,,0.03,,0.0,,0.64,,0.29,,0.0,
0.17,,"[423, 83, 184, 236]",,0.0,,0.05,,0.0,,0.2,,0.57,,0.0,
0.16,,"[423, 83, 184, 236]",,0.0,,0.05,,0.0,,0.2,,0.58,,0.0,
0.43,,"[432, 83, 176, 229]",,0.0,,0.06,,0.0,,0.29,,0.21,,0.01,
